id,title,type,homepage,contact,email,parent_id
המשרד לבטחון פנים,המשרד לבטחון פנים,משרד ממשלתי,,,,
המשרד להגנת הסביבה,המשרד להגנת הסביבה,משרד ממשלתי,,,,
המשרד לנושאים אסטרטגיים והסברה,המשרד לנושאים אסטרטגיים והסברה,משרד ממשלתי,,,,
המשרד לשירותי דת,המשרד לשירותי דת,משרד ממשלתי,,,,
המשרד לשיתוף פעולה אזורי ופיתוח הנגב והגליל,המשרד לשיתוף פעולה אזורי ופיתוח הנגב והגליל,משרד ממשלתי,,,,
משרד האוצר,משרד האוצר,משרד ממשלתי,,,,
משרד הבינוי והשיכון,משרד הבינוי והשיכון,משרד ממשלתי,,,,
משרד הבריאות,משרד הבריאות,משרד ממשלתי,,,,
משרד החינוך,משרד החינוך,משרד ממשלתי,,,,
משרד החקלאות ופיתוח הכפר,משרד החקלאות ופיתוח הכפר,משרד ממשלתי,,,,
משרד הכלכלה,משרד הכלכלה,משרד ממשלתי,,,,
"משרד המדע, הטכנולוגיה והחלל","משרד המדע, הטכנולוגיה והחלל",משרד ממשלתי,,,,
משרד המשפטים,משרד המשפטים,משרד ממשלתי,,,,
משרד העליה והקליטה,משרד העליה והקליטה,משרד ממשלתי,,,,
משרד הפנים,משרד הפנים,משרד ממשלתי,,,,
משרד התחבורה והבטיחות בדרכים,משרד התחבורה והבטיחות בדרכים,משרד ממשלתי,,,,
משרד התיירות,משרד התיירות,משרד ממשלתי,,,,
משרד התפוצות,משרד התפוצות,משרד ממשלתי,,,,
משרד התקשורת,משרד התקשורת,משרד ממשלתי,,,,
משרד התרבות והספורט,משרד התרבות והספורט,משרד ממשלתי,,,,
"משרד התשתיות הלאומיות, האנרגיה והמים","משרד התשתיות הלאומיות, האנרגיה והמים",משרד ממשלתי,,,,
משרד לשיוויון חברתי,משרד לשיוויון חברתי,משרד ממשלתי,,,,
משרד ראש הממשלה,משרד ראש הממשלה,משרד ממשלתי,,,,
הטלוויזיה החינוכית הישראלית,הטלוויזיה החינוכית הישראלית,יחידת סמך,,,,
הלשכה המרכזית לסטטיסטיקה,הלשכה המרכזית לסטטיסטיקה,יחידת סמך,,,,
המדפיס הממשלתי,המדפיס הממשלתי,יחידת סמך,,,,
המינהל לחינוך התיישבותי ועליית הנוער,המינהל לחינוך התיישבותי ועליית הנוער,יחידת סמך,,,,
המרכז למיפוי ישראל,המרכז למיפוי ישראל,יחידת סמך,,,,
הנהלת בתי הדין הרבניים,הנהלת בתי הדין הרבניים,יחידת סמך,,,,
הנהלת בתי המשפט,הנהלת בתי המשפט,יחידת סמך,,,,
הרבנות הראשית,הרבנות הראשית,יחידת סמך,,,,
הרשות הארצית לכבאות והצלה,הרשות הארצית לכבאות והצלה,יחידת סמך,,,,
הרשות הממשלתית למים וביוב,הרשות הממשלתית למים וביוב,יחידת סמך,,,,
הרשות להסדרת התיישבות הבדואים בנגב,הרשות להסדרת התיישבות הבדואים בנגב,יחידת סמך,,,,
הרשות לשירות אזרחי לאומי,הרשות לשירות אזרחי לאומי,יחידת סמך,,,,
השירות המטאורולוגי הישראלי,השירות המטאורולוגי הישראלי,יחידת סמך,,,,
השירותים הווטרינריים,השירותים הווטרינריים,יחידת סמך,,,,
מינהל המחקר החקלאי,מינהל המחקר החקלאי,יחידת סמך,,,,
מנהל התכנון,מנהל התכנון,יחידת סמך,,,,
מנהל מחקר מדעי אדמה וים,מנהל מחקר מדעי אדמה וים,יחידת סמך,,,,
נציבות שירות המדינה,נציבות שירות המדינה,יחידת סמך,,,,
רשות האוכלוסין וההגירה,רשות האוכלוסין וההגירה,יחידת סמך,,,,
רשות האכיפה והגבייה,רשות האכיפה והגבייה,יחידת סמך,,,,
רשות ההגבלים העסקיים,רשות ההגבלים העסקיים,יחידת סמך,,,,
רשות החברות הממשלתיות,רשות החברות הממשלתיות,יחידת סמך,,,,
רשות המסים בישראל,רשות המסים בישראל,יחידת סמך,,,,
"רשות התעופה האזרחית (רת""א)","רשות התעופה האזרחית (רת""א)",יחידת סמך,,,,
רשות מקרקעי ישראל,רשות מקרקעי ישראל,יחידת סמך,,,,
שירות בתי הסוהר,שירות בתי הסוהר,יחידת סמך,,,,
"שירות עיבודים ממוחשבים (שע""ם)","שירות עיבודים ממוחשבים (שע""ם)",יחידת סמך,,,,
